id	external_id	lemma	stressed	translation	pos	pos_subtype	level	gender	animacy	stem	ending	domain	aspect	transitivity	stress_pattern_semu	rank	count
1	490	и	и	and	conj		1E					connectors				1	36358.94
2	123	в	в	in; into; to; at	prep		1E					prep; LOC; ACC				2	27792.36
3	811	не	не	not	func	negation	1E					negative				3	20689.51
4	937	он	о́н	he	pron	personal	1E									4	18942.62
5	772	на	на	on; in; at	prep		1E					prep; LOC; ACC				5	16588.14
6	1826	я	я́	I	pron	personal	1E					pronouns; personal			E_	6	15631.11
7	1618	тот	то́т	that	adjpron		1E									8	11398.44
8	122	быть	бы́ть	be	verb		1E					verbs	imperfective	intransitive		9	11223.99
9	1381	с	с	with; accompanied by (INST); from; since (GEN)	prep		1E									10	11150.72
10	1	а	а	but; and (showing contrast)	conj		1E					connectors				11	9808.61
11	144	весь	ве́сь	all; whole; entire	adjpron		1E									12	8604.72
12	1820	это	э́то	this is	pron	demonstrative	1E					deictic				13	8043.9
13	543	как	как	how; as (with adverbs and sh adj)	adv	interrogative; relative	1E					interrogative				14	7313.35
14	938	она	она́	she	pron	personal	1E									15	7110.8
15	1058	по	по	around; along	prep		1E									16	5735.64
16	885	но	но	but	conj		1E					connectors				17	5672.65
17	939	они	они́	they	pron	personal	1E									18	5592.16
18	537	к	к	towards; to a person´s house	prep		1E									19	5455.05
19	1645	у	у	at; by; near	prep		1E									20	5033.86
20	1641	ты	ты́	you (sg; informal) (thou)	pron	personal	1E					pronouns; personal			E_	21	4863.63
21	497	из	из	from (в-words; most places)	prep		1E									22	4787.36
22	765	мы	мы́	we	pron	personal	1E									23	4740.29
23	423	за	за	behind; beyond; around; to get; to fetch; drink to; for; in exchange for; in favor of	prep		1E									24	4724.07
24	224	вы	вы́	you (plural; formal singular); y’all; you guys	pron	personal	1E					pronouns; personal				25	3924.53
25	1569	так	так	so; thus	adv		1E									26	3756.63
26	961	от	от	from (people; distances)	prep		1E									28	3558.06
27	1440	сказать	сказа́ть	say; tell	verb		1E						perfective	transitive		29	3535.97
28	1821	этот	э́тот	this; that	adjpron		1E									30	3396.65
29	623	который	кото́рый	which; that; who; whom	adj	relative	1E					pronouns; relative				31	3288.8
30	755	мочь	мо́чь	can; be able to (ABILITY; PERMISSION)	verb		1E						imperfective	intransitive		32	3273.98
31	687	люди	лю́ди	people	noun		1E	masc				home; family; people			SS	33	2945.47
32	1754	человек	челове́к	person; man; human being; people	noun		1E	masc	animate			people			SS	33	2945.47
33	903	о	о	about	prep		1E									34	2900.17
34	401	еще	ещё	still; yet; more	adv		1E					time				36	2786.93
35	402	еще не	ещё не; ещё нет	still not; not yet	adv		1E					adverbs				36	2786.93
36	118	бы	бы	would (conditional; subjunctive particle)	func	conditional	1E									37	2714.09
37	1571	такой	тако́й	such (a one); so	adj	adjpron	1E									38	2677.36
38	1615	только	то́лько	only	adv		1E									39	2652.63
39	1403	себя	себя́	oneself	pron	reflexive	1E								E_	40	2552.74
40	1397	свое	своё	one’s own	pron		1E									41	2388.81
41	544	какой	како́й	what kind of; which ; what a (adj with nouns)	adj	interrogative; relative	1E									42	2382.57
42	588	когда	когда́	when	adv	interrogative; relative	1E									43	2310.89
43	1659	уже	уже́	already	adv		1E					time				44	2271.47
44	356	для	для	for (the benefit of); intended for	prep		1E									45	2249.87
45	203	вот	во́т	this; here	func	demonstrative	1E					deictic				46	2205.73
46	642	кто	кто́	who	adjpron	interrogative; relative	1E									47	2177.45
47	298	да	да́	yes	disc	disc	1E					discourse				48	2145.99
48	258	говорить	говори́ть	speak; say; tell	verb		1E						imperfective	transitive		49	2059.32
49	260	год	го́д	year	noun		1E	masc	inanimate						SM	50	2042.67
50	745	мой	мо́й	my; mine	adjpron		1E									52	1992.41
51	357	до	до	before; until; up to; to	prep		1E									53	1991.74
52	506	или	и́ли	or	conj		1E					connectors				54	1977.42
53	398	если	е́сли	if (real conditions)	conj	conditional	1E									55	1974.42
54	205	время	вре́мя	time	noun		1E	neut	inanimate						SE	56	1862.46
55	1373	рука	рука́	hand; arm	noun		1E	fem	inanimate						UM	57	1787.85
56	866	нет	не́т; не́ту	no; there is no	func	negation	1E									58	1751.61
57	1387	самый	са́мый	most; -est	adj	adjpron	1E					grammar				59	1744.2
58	873	ни	ни	nor; neither; not a	conj	negative	1E									60	1660.28
59	101	большой	большо́й	big; large	adj		1E			больш	ой	qualities				62	1630.96
60	301	даже	да́же	even	adv		1E									63	1618.78
61	383	другой	друго́й	other; another	adj	adjpron	1E									64	1576.73
62	810	наш		our; ours	adjpron		1E									65	1568.9
63	1398	свой		one´s own	adjpron		1E									66	1531.07
64	900	ну		well; umm	disc		1E									67	1507.99
65	1084	под	под	under; below; beneath	prep		1E	masc	inanimate						SE	68	1482.47
66	244	где	где́	where	adv	interrogative; relative; locational	1E					interrogative; location				69	1471.94
67	332	дело	де́ло	matter; business; thing; affair	noun		1E	neut	inanimate						SE	70	1453.57
68	399	есть	е́сть	eat	verb		1E						imperfective	transitive		71	1436.68
69	33174	есть	е́сть	there is	verb		1E									71	1436.68
70	1314	раз	ра́з	time; occurrence; one (counting)	noun		1E	masc	inanimate			quantification			SE	73	1409.69
71	1776	чтобы		in order to; so that	conj		1E									74	1408.22
72	309	два	два	2	num	cardinal	1E					quantification				75	1371.55
73	1574	там	та́м	there	adv		1E					location				76	1361.94
74	1755	чем	чем	than (with comparisons)	conj	comparative	1E									77	1345.29
75	254	глаз	гла́з	eye	noun		1E	masc	inanimate			people; body			SE	78	1329.93
76	416	жизнь	жи́знь	life	noun		1E	fem	inanimate						SS	79	1317.07
77	1014	первый	пе́рвый	1st; first	adj	ord	1E					numerals; ordinal				80	1292.77
78	335	день	день´	day; afternoon	noun		1E	masc	inanimate			time; day			EE	81	1286.04
79	1639	тут	ту́т	here (more concrete location)	adv		1E					location				82	1262.47
80	33176	во	в	in; into; to; at	prep		1E					prep; LOC; ACC				83	1236.4
81	884	ничего		nothing	pron		1E									84	1232.17
82	1189	потом	пото́м	then; and then; afterwards	adv		1E									85	1216.99
83	993	очень	о́чень	very	adv		1E					adverbs				86	1214.24
84	33177	со	с	with; accompanied by (INST); from; since (GEN)	prep		1E									87	1195.33
85	1731	хотеть	хоте́ть	want (irreg)	verb		1E					verbs	imperfective	transitive		88	1189.94
86	668	ли		if; whether; (question particle)	func		1E									89	1184.49
87	262	голова	голова́	head	noun		1E	fem	inanimate			people; body			UM	91	1161.9
